Signal,GPIO MUX 1,Signal Type 1,Default Value 1,GPIO MUX 2,Signal Type 2,Default Value 2,GPIO MUX 3,Signal Type 3,Default Value 3,GPIO MUX 4,Signal Type 4,Default Value 4,GPIO MUX 5,Signal Type 5,Default Value 5,GPIO MUX 6,Signal Type 6,Default Value 6,GPIO MUX 7,Signal Type 7,Default Value 7,GPIO MUX 8,Signal Type 8,Default Value 8,GPIO MUX 9,Signal Type 9,Default Value 9,GPIO MUX 10,Signal Type 10,Default Value 10,GPIO MUX 11,Signal Type 11,Default Value 11,GPIO MUX 12,Signal Type 12,Default Value 12,GPIO MUX 13,Signal Type 13,Default Value 13,GPIO MUX 14,Signal Type 14,Default Value 14,GPIO MUX 15,Signal Type 15,Default Value 15,GPIO MUX 16,Signal Type 16,Default Value 16,GPIO MUX 17,Signal Type 17,Default Value 17,GPIO MUX 18,Signal Type 18,Default Value 18,GPIO MUX 19,Signal Type 19,Default Value 19,GPIO MUX 20,Signal Type 20,Default Value 20,GPIO MUX 21,Signal Type 21,Default Value 21,GPIO MUX 22,Signal Type 22,Default Value 22,GPIO MUX 23,Signal Type 23,Default Value 23,GPIO MUX 24,Signal Type 24,Default Value 24,GPIO MUX 25,Signal Type 25,Default Value 25,GPIO MUX 26,Signal Type 26,Default Value 26,GPIO MUX 27,Signal Type 27,Default Value 27,GPIO MUX 28,Signal Type 28,Default Value 28,GPIO MUX 29,Signal Type 29,Default Value 29,GPIO MUX 30,Signal Type 30,Default Value 30,GPIO MUX 31,Signal Type 31,Default Value 31,IO Buffer
DP3_4,MIBSPI0CLK,I/O,,SPI5CS2,I/O,,EPWM17B,O,,FSI3RXD0,I/O,,SPI4CS0,I/O,,ADC3EXTMUXSEL3,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_5,MIBSPI0PICO,I/O,,SPI5CS3,I/O,,EPWM18A,O,,FSI3RXD1,I/O,,SPI4CS1,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_6,MIBSPI0POCI,I/O,,SPI3CS4,I/O,,EPWM18B,O,,FSI4TXCLK,I/O,,SPI4CS2,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_7,MIBSPI0CS0,I/O,,EXTCLK,I,,EPWM19A,O,,FSI4TXD0,I/O,,SPI4CS3,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_8,MIBSPI0CS1,I/O,,SPI4CLK,I/O,,EPWM19B,O,,FSI4TXD1,I/O,,SPI5CLK,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_9,MIBSPI0CS2,I/O,,SPI4PICO,I/O,,EPWM20A,O,,FSI4RXCLK,I/O,,SPI5PICO,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_10,MIBSPI0CS3,I/O,,SPI4POCI,I/O,,EPWM20B,O,,FSI4RXD0,I/O,,SPI5POCI,I/O,,PSI5_2_TX,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_11,MIBSPI1CLK,I/O,,SPI3CS5,I/O,,EPWM21A,O,,FSI4RXD1,I/O,,SPI5CS0,I/O,,PSI5_2_RX,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_12,MIBSPI1PICO,I/O,,MCPWM10A,I/O,,EPWM21B,O,,FSI5TXCLK,I/O,,SPI5CS1,I/O,,PSI5_3_TX,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP3_13,MIBSPI1POCI,I/O,,MCPWM10B,I/O,,EPWM22A,O,,FSI5TXD0,I/O,,SPI5CS2,I/O,,PSI5_3_RX,I/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
